date,date,open,high,low,close,benchmark_close
0,2006-01-04,0.814,0.83,0.814,0.829,941.43
1,2006-01-05,0.829,0.848,0.829,0.848,959.13
2,2006-01-06,0.848,0.859,0.844,0.854,970.03
3,2006-01-09,0.853,0.86,0.851,0.858,975.25
4,2006-01-10,0.854,0.855,0.847,0.855,978.15
5,2006-01-11,0.854,0.859,0.847,0.848,973.48
6,2006-01-12,0.846,0.855,0.845,0.854,983.72
7,2006-01-13,0.854,0.857,0.844,0.846,978.81
8,2006-01-16,0.847,0.847,0.831,0.833,961.44
9,2006-01-17,0.831,0.841,0.831,0.839,964.29
10,2006-01-18,0.838,0.858,0.835,0.856,983.62
11,2006-01-19,0.857,0.861,0.85,0.858,991.22
12,2006-01-20,0.858,0.862,0.854,0.856,993.34
13,2006-01-23,0.857,0.862,0.855,0.86,996.16
14,2006-01-24,0.859,0.86,0.85,0.854,999.09
15,2006-01-25,0.854,0.863,0.851,0.863,1009.6
16,2006-02-06,0.863,0.879,0.862,0.878,1033.23
17,2006-02-07,0.877,0.88,0.866,0.873,1029.94
18,2006-02-08,0.87,0.879,0.869,0.877,1033.07
19,2006-02-09,0.878,0.878,0.864,0.865,1019.6
20,2006-02-10,0.865,0.879,0.865,0.879,1032.34
21,2006-02-13,0.877,0.878,0.869,0.876,1031.61
22,2006-02-14,0.875,0.877,0.872,0.877,1038.53
23,2006-02-15,0.878,0.887,0.878,0.885,1041.66
24,2006-02-16,0.884,0.884,0.871,0.875,1020.12
25,2006-02-17,0.87,0.88,0.87,0.875,1020.37
26,2006-02-20,0.871,0.88,0.871,0.872,1021.64
27,2006-02-21,0.87,0.888,0.87,0.887,1038.82
28,2006-02-22,0.888,0.891,0.878,0.882,1037.89
29,2006-02-23,0.882,0.891,0.881,0.89,1041.37
30,2006-02-24,0.891,0.898,0.888,0.898,1049.44
31,2006-02-27,0.901,0.909,0.899,0.901,1047.84
32,2006-02-28,0.901,0.912,0.894,0.911,1053.01
33,2006-03-01,0.91,0.92,0.909,0.919,1056.62
34,2006-03-02,0.92,0.92,0.896,0.901,1038.67
35,2006-03-03,0.9,0.91,0.893,0.902,1041.68
36,2006-03-06,0.902,0.905,0.897,0.897,1038.87
37,2006-03-07,0.897,0.9,0.879,0.881,1014.97
38,2006-03-08,0.88,0.882,0.873,0.877,1009.27
39,2006-03-09,0.877,0.879,0.871,0.872,1004.34
40,2006-03-10,0.871,0.878,0.871,0.874,1008.9
41,2006-03-13,0.872,0.883,0.872,0.882,1019.86
42,2006-03-14,0.881,0.883,0.874,0.878,1018.27
43,2006-03-15,0.877,0.885,0.876,0.885,1028.96
44,2006-03-16,0.884,0.886,0.882,0.882,1027.62
45,2006-03-17,0.88,0.885,0.877,0.881,1024.02
46,2006-03-20,0.88,0.891,0.877,0.891,1037.66
47,2006-03-21,0.89,0.897,0.889,0.892,1040.76
48,2006-03-22,0.892,0.897,0.889,0.897,1047.67
49,2006-03-23,0.897,0.897,0.887,0.894,1048.54
50,2006-03-24,0.894,0.897,0.892,0.895,1042.6
51,2006-03-27,0.894,0.9,0.888,0.897,1050.71
52,2006-03-28,0.896,0.905,0.895,0.904,1055.98
53,2006-03-29,0.902,0.917,0.902,0.912,1065.29
54,2006-03-30,0.911,0.916,0.904,0.906,1055.63
55,2006-03-31,0.905,0.912,0.9,0.91,1061.09
56,2006-04-03,0.91,0.92,0.907,0.92,1079.32
57,2006-04-04,0.919,0.925,0.915,0.925,1089.37
58,2006-04-05,0.924,0.933,0.924,0.932,1099.97
59,2006-04-06,0.933,0.935,0.927,0.93,1103.24
60,2006-04-07,0.93,0.93,0.916,0.919,1103.15
61,2006-04-10,0.919,0.933,0.917,0.932,1117.91
62,2006-04-11,0.933,0.945,0.93,0.936,1123.31
63,2006-04-12,0.935,0.938,0.93,0.933,1117.07
64,2006-04-13,0.93,0.936,0.919,0.92,1093.93
65,2006-04-14,0.918,0.939,0.918,0.938,1118.61
66,2006-04-17,0.93,0.949,0.929,0.947,1124.41
67,2006-04-18,0.947,0.957,0.943,0.95,1131.28
68,2006-04-19,0.95,0.957,0.946,0.952,1138.24
69,2006-04-20,0.95,0.957,0.938,0.939,1134.38
70,2006-04-21,0.939,0.963,0.939,0.962,1149.16
71,2006-04-24,0.96,0.967,0.953,0.961,1142.7
72,2006-04-25,0.96,0.96,0.941,0.942,1141.93
73,2006-04-26,0.942,0.966,0.942,0.963,1155.73
74,2006-04-27,0.963,0.965,0.953,0.964,1155.27
75,2006-04-28,0.958,0.992,0.95,0.992,1172.35
76,2006-05-08,0.992,1.028,0.992,1.026,1218.44
77,2006-05-09,1.027,1.052,1.021,1.046,1251.61
78,2006-05-10,1.048,1.06,1.038,1.052,1265.93
79,2006-05-11,1.05,1.07,1.039,1.043,1255.04
80,2006-05-12,1.038,1.08,1.034,1.08,1296.26
81,2006-05-15,1.086,1.15,1.085,1.139,1352.16
82,2006-05-16,1.111,1.149,1.088,1.104,1331.13
83,2006-05-17,1.103,1.128,1.09,1.107,1335.52
84,2006-05-18,1.1,1.106,1.078,1.105,1331.2
85,2006-05-19,1.09,1.108,1.075,1.101,1366.1
86,2006-05-22,1.101,1.119,1.09,1.1,1373.67
87,2006-05-23,1.099,1.099,1.059,1.064,1317.65
88,2006-05-24,1.065,1.095,1.046,1.066,1308.24
