,PM,CS,spread,spreadZ
2015-04-16,2521.0,2943.0,1416.08312802,-2.10765825691
2015-04-17,2521.0,2957.0,1402.08312802,-2.15220459732
2015-04-20,2524.0,2952.0,1412.27045423,-2.11978973294
2015-04-21,2451.0,2944.0,1294.04551637,-2.49596747058
2015-04-22,2550.0,2954.0,1455.22728141,-1.98310620103
2015-04-23,2561.0,2961.0,1467.24747753,-1.94485936189
2015-04-24,2561.0,2941.0,1487.24747753,-1.88122173273
2015-04-27,2561.0,2949.0,1479.24747753,-1.90667678439
2015-04-28,2561.0,2964.0,1464.24747753,-1.95440500626
2015-04-29,2635.0,2942.0,1614.20152413,-1.47726900584
2015-04-30,2635.0,2965.0,1591.20152413,-1.55045227937
2015-05-04,2635.0,3000.0,1556.20152413,-1.6618181304
2015-05-05,2635.0,2991.0,1565.20152413,-1.63318119728
2015-05-06,2628.0,2994.0,1550.09776296,-1.68123957488
2015-05-07,2628.0,3015.0,1529.09776296,-1.7480590855
2015-05-08,2522.0,2996.0,1364.81223675,-2.27079615515
2015-05-11,2433.0,2995.0,1211.92155909,-2.75727616751
2015-05-12,2446.0,2998.0,1231.39997268,-2.69529816447
2015-05-13,2471.0,3016.0,1256.62769113,-2.61502655492
2015-05-14,2452.0,3016.0,1223.77462511,-2.71956111653
2015-05-15,2446.0,3028.0,1201.39997268,-2.79075460821
2015-05-18,2446.0,3014.0,1215.39997268,-2.7462082678
2015-05-19,2505.0,3013.0,1318.41738821,-2.41841906347
2015-05-20,2398.0,3007.0,1139.40275327,-2.98802241111
2015-05-21,2398.0,3008.0,1138.40275327,-2.99120429257
2015-05-22,2398.0,3004.0,1142.40275327,-2.97847676674
2015-05-25,2398.0,2981.0,1165.40275327,-2.90529349321
2015-05-26,2398.0,2956.0,1190.40275327,-2.82574645676
2015-05-27,2448.0,2912.0,1320.85819016,-2.41065272102
2015-05-28,2748.0,2905.0,1846.5908115,-0.737833841319
2015-05-29,2740.0,2921.0,1816.7579416,-0.8327584969
2015-06-01,2740.0,2936.0,1801.7579416,-0.88048671877
2015-06-02,2740.0,2932.0,1805.7579416,-0.867759192938
2015-06-03,2740.0,2931.0,1806.7579416,-0.86457731148
2015-06-04,2710.0,2904.0,1781.88467946,-0.943721083064
2015-06-05,2710.0,2890.0,1795.88467946,-0.899174742652
2015-06-08,2710.0,2847.0,1838.88467946,-0.76235383996
2015-06-09,2710.0,2877.0,1808.88467946,-0.857810283699
2015-06-10,2735.0,2865.0,1864.11239791,-0.682082230412
2015-06-11,2735.0,2878.0,1851.11239791,-0.723446689365
2015-06-12,2744.0,2862.0,1882.67437655,-0.623020214753
2015-06-15,2744.0,2835.0,1909.67437655,-0.537109415387
2015-06-16,2744.0,2853.0,1891.67437655,-0.594383281631
2015-06-17,2744.0,2874.0,1870.67437655,-0.661202792248
2015-06-18,2744.0,2883.0,1861.67437655,-0.68983972537
2015-06-19,2634.0,2876.0,1678.47241539,-1.27276664865
2015-06-23,2650.0,2889.0,1693.13815519,-1.22610200309
2015-06-24,2685.0,2863.0,1779.65696102,-0.950809419079
2015-06-25,2643.0,2860.0,1710.03439403,-1.17234017403
2015-06-26,2643.0,2855.0,1715.03439403,-1.15643076674
2015-06-29,2643.0,2850.0,1720.03439403,-1.14052135945
2015-06-30,2724.0,2832.0,1878.09220179,-0.637600151647
2015-07-01,2739.0,2860.0,1876.02883286,-0.644165546995
2015-07-02,2739.0,2840.0,1896.02883286,-0.580527917836
2015-07-03,2705.0,2851.0,1826.23913577,-0.80259046095
2015-07-06,2637.0,2858.0,1701.6597416,-1.19898732531
2015-07-07,2580.0,2865.0,1596.10054355,-1.53486418032
2015-07-08,2450.0,2798.0,1438.31640763,-2.03691459675
2015-07-09,2490.0,2867.0,1438.48075714,-2.03639165608
2015-07-10,2490.0,2875.0,1430.48075714,-2.06184670775
2015-07-13,2490.0,2870.0,1435.48075714,-2.04593730046
2015-07-14,2490.0,2859.0,1446.48075714,-2.01093660442
2015-07-15,2490.0,2852.0,1453.48075714,-1.98866343421
2015-07-16,2490.0,2868.0,1437.48075714,-2.03957353754
2015-07-17,2490.0,2888.0,1417.48075714,-2.1032111667
2015-07-20,2490.0,2855.0,1450.48075714,-1.99820907859
2015-07-21,2490.0,2839.0,1466.48075714,-1.94729897526
2015-07-22,2391.0,2845.0,1289.2989921,-2.51107034814
2015-07-23,2483.0,2842.0,1451.37699598,-1.99535735286
2015-07-24,2495.0,2834.0,1480.12630083,-1.90388047281
2015-07-27,2495.0,2443.0,1871.12630083,-0.659764822744
2015-07-28,2495.0,2437.0,1877.12630083,-0.640673533996
2015-07-29,2495.0,2446.0,1868.12630083,-0.669310467118
2015-07-30,2495.0,2440.0,1874.12630083,-0.65021917837
2015-07-31,2495.0,2440.0,1874.12630083,-0.65021917837
2015-08-03,2495.0,2413.0,1901.12630083,-0.564308379005
2015-08-04,2495.0,2402.0,1912.12630083,-0.529307682967
2015-08-05,2424.0,2395.0,1796.35958045,-0.897663664009
2015-08-06,2424.0,2394.0,1797.35958045,-0.894481782551
2015-08-07,2424.0,2378.0,1813.35958045,-0.843571679223
2015-08-10,2424.0,2355.0,1836.35958045,-0.77038840569
2015-08-11,2422.0,2368.0,1819.90136297,-0.822756502707
2015-08-12,2422.0,2355.0,1832.90136297,-0.781392043753
2015-08-13,2399.0,2387.0,1761.131862,-1.00975408814
2015-08-14,2399.0,2422.0,1726.131862,-1.12111993917
2015-08-17,2399.0,2424.0,1724.131862,-1.12748370208
2015-08-18,2399.0,2420.0,1728.131862,-1.11475617625
2015-08-19,2399.0,2405.0,1743.131862,-1.06702795438
2015-08-20,2399.0,2394.0,1754.131862,-1.03202725834
2015-08-21,2399.0,2377.0,1771.131862,-0.977935273557
2015-08-24,2398.0,2360.0,1786.40275327,-0.929345107803
2015-08-25,2398.0,2391.0,1755.40275327,-1.027983433
2015-08-26,2400.0,2395.0,1754.86097074,-1.02970732077
2015-08-27,2400.0,2374.0,1775.86097074,-0.962887810151
